破れる,破れる,破[やぶ]れる,"Intransitive verb - Ichidan verb
to break; to be smashed",斜め切れ目入れて皮,斜め[なな]切れ目[きれめ]入れて[い]皮[かわ],Make diagonal slits in the sausage before grilling to prevent the skin from tearing.,True,,,
痩せる,痩せる,痩[や]せる,"Intransitive verb - Ichidan verb
to become thin; to lose weight; to reduce (one's) weight; to slim",痩せるためには何かスポーツをしたほうがよい,痩せる[や]ためには何か[なに]スポーツをしたほうがよい,In order to lose weight you had better take up some sport.,True,,,
ずいぶん,ずいぶん,ずいぶん,"Adverb taking the 'to' particle - Adverb (fukushi)
very; extremely; surprisingly; fairly; quite; considerably; awfully; terribly",1年経ち田舎暮らし,1年[いちねん]経ち[た]田舎暮らし[いなかぐ],"It has been a year since I moved here, and I have become quite accustomed to rural life.",True,,,
布,布,布[ぬの],"Noun
cloth; fabric; material; textile",財布日無くなって,財布[さいふ]日[ひ]無くなって[な],I left my wallet in the classroom. It was no longer there when I went to collect it the next day.,True,,,
袋,袋,袋[ふくろ],"Noun
bag; sack; pouch",素敵な手袋をしていますね,素敵な[すてき]手袋[てぶくろ]をしていますね,Those are nice gloves you have on.,True,,,
折れる,折れる,折[お]れる,"Intransitive verb - Ichidan verb
to break; to be broken; to snap; to fracture",彼は彼女に車を運転させるつもりはなかったのだが彼女があまりにせがむものだから彼の方がとうとう折れた,彼[かれ]は彼女[かのじょ]に車[くるま]を運転させる[うんてん]つもりはなかったのだが彼女[かのじょ]があまりにせがむものだから彼の[かれ]方[ほう]がとうとう折れた[お],He didn't intend to let her drive but she pestered him so much that he finally gave in.,True,,,
折る,折る,折[お]る,"Transitive verb - Godan verb with 'ru' ending
to break; to fracture; to break off; to snap off; to pick (e.g. flowers)",あそうだに変なことしたら背骨を折る,あそうだに変な[へん]ことしたら背骨[せぼね]を折る[お],One more thing. If you try anything on Mayu I'll break your spine.,True,,,
歯,歯,歯[は],"Noun
tooth; teeth",息子の乳歯が永久歯に変わりました,息子[むすこ]の乳歯[にゅうし]が永久歯[えいきゅうし]に変わりました[か],All my son's adult teeth are in.,True,,,
欠ける,欠ける,欠[か]ける,"Intransitive verb - Ichidan verb
to chip; to be chipped; to break (off); to be damaged",西洋人の中には私たちの家屋には彼らが不可欠と考えるもの全てが欠けていると思う人もいるだろう,西洋人[せいようじん]の中[なか]には私たち[わたし]の家屋[かおく]には彼ら[かれ]が不可欠[ふかけつ]と考える[かんが]もの全て[すべ]が欠けている[かけ]と思う[おも]人[ひと]もいるだろう,Some Westerners may think our houses are lacking in everything they consider essential.,True,,,
張る,張る,張[は]る,"Transitive verb - Godan verb with 'ru' ending
to stick; to paste; to affix",川の近くにテントを張った,川[かわ]の近く[ちか]にテントを張った[は],We set up the tent next to the river.,True,,,
仕舞う,仕舞う,仕舞[しま]う,"Transitive verb - Godan verb with 'u' ending
to finish; to stop; to end; to put an end to; to bring to a close",息子はあの棚の上の本を全て読んでしまった,息子[むすこ]はあの棚[たな]の上の[うえ]本[ほん]を全て[すべ]読んで[よ]しまった,My son has read every book on that shelf.,True,,,
掛ける,掛ける,掛[か]ける,"Transitive verb - Ichidan verb
to hang up (e.g. a coat, a picture on the wall); to let hang; to suspend (from); to hoist (e.g. sail); to raise (e.g. flag)",身命をかけて職務を実践しすべての警察官の心に火をともしてくれました,身命[しんめい]をかけて職務[しょくむ]を実践[じっせん]しすべての警察官[けいさつかん]の心[こころ]に火[ひ]をともしてくれました,He risked his life to carry out his duty and inspired police officers everywhere.,True,,,
ホッチキス,ホッチキス,ホッチキス,"Noun
stapler; paper fastener",ホッチキスを貸してくれませんか,ホッチキスを貸して[か]くれませんか,Will you please lend me a stapler?,True,,,
